age,gender,education,years_experience,interview_score,hired
30,Female,Master,5,81,0
33,Male,PhD,7,86,1
39,Female,Bachelor,10,71,0
45,Male,Bachelor,13,79,1
29,Female,Master,4,80,0
46,Male,Bachelor,14,77,1
32,Female,Bachelor,6,73,0
38,Male,Master,9,83,1
44,Female,Bachelor,12,76,0
26,Male,Bachelor,2,74,1
35,Female,Master,8,81,0
41,Male,Bachelor,11,78,1
28,Female,Bachelor,3,70,0
47,Male,PhD,15,87,1
31,Female,Master,7,82,0
37,Male,Bachelor,10,75,1
42,Female,Bachelor,9,72,0
25,Male,Master,1,84,1
39,Female,Bachelor,8,79,0
34,Male,Bachelor,6,77,1
40,Female,Master,12,80,0
50,Male,Bachelor,17,85,1
27,Female,Bachelor,2,71,0
36,Male,PhD,9,86,1
43,Female,Master,11,83,0
29,Male,Bachelor,4,76,1
45,Female,Bachelor,13,74,0
32,Male,Master,5,82,1
38,Female,Bachelor,10,73,0
44,Male,Bachelor,14,79,1
33,Female,Master,6,81,0
48,Male,PhD,16,88,1
26,Female,Bachelor,1,69,0
